group,stage,raw,sumw,sumw2,stat_error
data,input,6242521,6242521.0,6242521.0,2498.503752248533
data,trigger,3503149,3503149.0,3503149.0,1871.6701098217068
data,one_e_one_mu_matched,107546,107546.0,107546.0,327.9420680547099
data,opposite_sign,106231,106231.0,106231.0,325.93097428750156
data,two_jets_jvt,86217,86217.0,86217.0,293.6273148056904
data,one_bjet,75218,75218.0,75218.0,274.2590016754236
data,two_bjets,36945,36945.0,36945.0,192.21082175569617
ttbar,input,1389581,642595.7521746516,316521.57796045777,562.6025044029379
ttbar,trigger,1188755,543872.3436972507,265192.019650584,514.9679792478208
ttbar,one_e_one_mu_matched,218396,96969.76561395943,46049.35590855577,214.59113660297288
ttbar,opposite_sign,217308,96482.3040186769,45813.092678783774,214.03993243968233
ttbar,two_jets_jvt,181777,80511.18351143185,38082.50102980834,195.14738284129854
ttbar,one_bjet,162681,72074.9911291364,34092.98258891957,184.6428514427774
ttbar,two_bjets,79816,35431.55574172513,16793.468810306207,129.58961690778395
diboson,input,165356,24261.917964150274,18552.316562614793,136.2068888221693
diboson,trigger,147264,21294.309293890547,15976.85537091173,126.39958611843525
diboson,one_e_one_mu_matched,24649,3488.635109428071,2601.3920709860868,51.00384368835438
diboson,opposite_sign,17909,3066.77204184978,2374.1073130698155,48.72481208860446
diboson,two_jets_jvt,12394,1761.7459077583019,888.8074059943767,29.812873158995874
diboson,one_bjet,1500,211.05670562609004,110.078672173349,10.491838360046776
diboson,two_bjets,113,17.079400495101144,7.958127616890119,2.821015352118829
single_top,input,96800,43733.49922007179,21067.15606551726,145.14529294991712
single_top,trigger,81180,36332.74171420747,17360.304665129428,131.75850889080914
single_top,one_e_one_mu_matched,14308,6245.302700105396,2901.410142321173,53.864739322874044
single_top,opposite_sign,14203,6199.885075837848,2880.8122565808308,53.67319868035471
single_top,two_jets_jvt,9951,4336.378407527686,2008.700623640057,44.818529913865504
single_top,one_bjet,8234,3595.3810697245362,1668.1119341708663,40.84252605031753
single_top,two_bjets,2560,1125.2623214689274,529.0640695865527,23.001392774928927
Wjets,input,466361,107436.77381508511,803099.1011632923,896.1579666349523
Wjets,trigger,321575,63377.40646051055,440192.01103218494,663.4696760456991
Wjets,one_e_one_mu_matched,4352,163.12540389654717,118.31408374683855,10.877227760180373
Wjets,opposite_sign,3005,107.58383325368936,83.08289837966865,9.11498208334326
Wjets,two_jets_jvt,2305,60.10475369391554,35.509250577681215,5.9589638845760105
Wjets,one_bjet,404,13.235147524412222,5.949330858458695,2.4391250190301226
Wjets,two_bjets,39,0.3360640437247115,0.13366762635429028,0.3656058346830508
Zjets,input,24838361,2448314.60783601,6132585.8055124115,2476.405824074966
Zjets,trigger,23070737,2183636.2538608806,5285611.111560072,2299.0456958399222
Zjets,one_e_one_mu_matched,27406,1221.6414632705016,2081.6830669956994,45.62546511539033
Zjets,opposite_sign,26060,1187.6970321941553,2032.92125336802,45.087928022565194
Zjets,two_jets_jvt,21147,677.3557546839115,467.91098276268133,21.631250143315373
Zjets,one_bjet,3235,98.34506032956521,56.54825620664324,7.519857459197165
Zjets,two_bjets,337,10.23322794874237,12.40124108753895,3.5215395905113644
ttV,input,115897,3274.058867763261,1156.1800232317933,34.00264729740603
ttV,trigger,105964,2928.467040192616,1007.0474313762852,31.734010641207725
ttV,one_e_one_mu_matched,11165,438.1450871777501,177.27103711117593,13.314316997547262
ttV,opposite_sign,6914,308.3832005532983,132.50192596749213,11.510948091599237
ttV,two_jets_jvt,6335,279.4514841780362,121.27492054994183,11.012489298516563
ttV,one_bjet,5295,236.0969831154309,101.80207475822141,10.08970142066758
ttV,two_bjets,2288,104.76794163971465,47.733632235367466,6.908953049150607
HWW,input,28001,3198.6014477807644,718.8175444461472,26.81077291773117
HWW,trigger,21499,2392.1515415049325,529.356030072982,23.007738482366797
HWW,one_e_one_mu_matched,2531,247.3543805237113,51.90744670115894,7.204682276211695
HWW,opposite_sign,2522,246.7899463472457,51.810641253440124,7.197960909413174
HWW,two_jets_jvt,1553,159.49755848977128,33.784288205312805,5.812425329009638
HWW,one_bjet,190,18.152682386735076,3.998865378498251,1.9997163245066163
HWW,two_bjets,22,2.083493375437082,0.44490931404029127,0.6670152277424342
